link	lastmodified	current	creator	dcc_id	drcapproved	dccapproved	deleted	created
https://zinc15.docking.org/substances/search/?q={drug.label}	2024-03-08 00:15:43.332	True		a1289ebb-0306-59a1-b0fc-e4d03a4790d7	True	True	False	2024-03-08 00:15:43.332
https://www.gtexportal.org/home/gene/{gene.ensembl}	2024-03-08 00:18:20.759	True		b3028db2-209c-5862-8f4d-33c5b312332e	True	False	False	2024-03-08 00:18:20.759
https://drugcentral.org/?q={drug.label}	2024-03-08 00:15:16.867	True		a1289ebb-0306-59a1-b0fc-e4d03a4790d7	True	True	False	2024-03-08 00:15:16.867
https://idg.reactome.org/search/{gene.symbol}	2024-03-08 00:14:30.105	True		a1289ebb-0306-59a1-b0fc-e4d03a4790d7	True	False	False	2024-03-08 00:14:30.105
https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Signatures?query={"search":["{drug.label}"]}	2024-03-08 00:06:57.680	True		f3f490cf-fd69-579c-8ea3-472c7cf3fb59	True	True	False	2024-03-08 00:06:57.680
https://cfde-drc.s3.amazonaws.com/GlyGen/KG Assertions/2024-05-08/GlyGen.zip	2024-05-08 15:38:40.801	True		e31052b0-ac50-5ede-9828-698ff3610427	True	True	False	2024-05-08 15:38:40.801
https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Genes?query={"skip":0,"limit":10,"search":["{gene.symbol}"]}	2024-03-08 00:06:32.451	True		f3f490cf-fd69-579c-8ea3-472c7cf3fb59	True	True	False	2024-03-08 00:06:32.451
https://maayanlab.cloud/Harmonizome/gene/{gene.symbol}	2024-03-08 00:12:08.090	True		f3f490cf-fd69-579c-8ea3-472c7cf3fb59	True	True	False	2024-03-08 00:12:08.090
https://maayanlab.cloud/drugmonizome/#/TermSearch/Small%20molecules?query={"limit":10,"search":["{drug.label}"]}	2024-03-08 00:07:34.891	True		f3f490cf-fd69-579c-8ea3-472c7cf3fb59	True	True	False	2024-03-08 00:07:34.891
https://cfde-drc.s3.amazonaws.com/4DN/KG Assertions/2024-05-08/4DN.zip	2024-05-08 15:34:36.239	True		d6bb00c3-7224-5001-b9c5-9838622fba40	True	True	False	2024-05-08 15:34:36.239
https://pharos.nih.gov/search?q={gene.symbol}	2024-03-08 00:14:50.194	True		a1289ebb-0306-59a1-b0fc-e4d03a4790d7	True	True	False	2024-03-08 00:14:50.194
https://www.glygen.org/protein/{protein.uniprot}	2024-03-08 00:17:25.102	True		e31052b0-ac50-5ede-9828-698ff3610427	True	True	False	2024-03-08 00:17:25.102
https://cfde-drc.s3.amazonaws.com/Kids%20First/C2M2/2024-04-03/KidsFirst_C2M2_2023-11-29_datapackage.zip	2023-11-29 00:00:00.000	False		65af85ae-82d5-5b81-bc66-6bddaa6420ce	True	True	False	2023-11-29 00:00:00.000
https://github.com/nih-cfde/playbook-partnership/tree/main/components/lincs/l1000-reverse-search	2023-07-19 00:00:00.000	True		f3f490cf-fd69-579c-8ea3-472c7cf3fb59	True	True	False	2023-07-19 00:00:00.000
https://github.com/nih-cfde/playbook-partnership/blob/main/components/service/ldh/index.tsx	2023-10-19 00:00:00.000	True		f65babf7-2875-5725-9635-210d654533f1	True	False	False	2023-10-19 00:00:00.000
https://cfde-drc.s3.amazonaws.com/ExRNA/KG%20Assertions/2024-05-08/ERCC.zip	2024-05-08 00:00:00.000	True		f65babf7-2875-5725-9635-210d654533f1	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/GTEx/KG%20Assertions/2024-05-08/GTEx.zip	2024-05-08 00:00:00.000	True		b3028db2-209c-5862-8f4d-33c5b312332e	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/GlyGen/KG%20Assertions/2024-05-08/GlyGen.zip	2024-05-08 00:00:00.000	True		e31052b0-ac50-5ede-9828-698ff3610427	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/HuBMAP/KG%20Assertions/2024-05-08/HuBMAP.zip	2024-05-08 00:00:00.000	True		803ad44d-e7a2-550a-95c6-57855bf06be8	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/IDG/KG%20Assertions/2024-05-08/IDG.zip	2024-05-08 00:00:00.000	True		a1289ebb-0306-59a1-b0fc-e4d03a4790d7	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/KidsFirst/KG%20Assertions/2024-05-08/KF.zip	2024-05-08 00:00:00.000	True		65af85ae-82d5-5b81-bc66-6bddaa6420ce	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/SPARC/KG%20Assertions/2024-05-08/SPARC.zip	2024-05-08 00:00:00.000	True		2399794e-74c6-5735-a039-0782cdeeb1e2	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/Metabolomics/KG%20Assertions/2024-05-08/MW.zip	2024-05-08 00:00:00.000	True		089d8d63-3364-526f-9706-80d62d0ec88c	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/MoTrPAC/KG%20Assertions/2024-05-08/MoTrPAC.zip	2024-05-08 00:00:00.000	True		a9aeab22-4fbc-5329-aef6-21110f463c23	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/LINCS/KG%20Assertions/2024-05-08/LINCS.zip	2024-05-08 00:00:00.000	True		f3f490cf-fd69-579c-8ea3-472c7cf3fb59	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/4DN/KG%20Assertions/2024-05-08/4DN.zip	2024-05-08 00:00:00.000	True		d6bb00c3-7224-5001-b9c5-9838622fba40	True	False	True	2024-05-08 00:00:00.000
https://cfde-drc.s3.amazonaws.com/Kids%20First/C2M2/2024-04-03/KidsFirst_C2M2_datapackage_2024-03-10.zip	2024-03-10 00:00:00.000	False		65af85ae-82d5-5b81-bc66-6bddaa6420ce	True	True	False	2024-03-10 00:00:00.000
https://cfde-drc.s3.amazonaws.com/MoTrPAC/XMT/2023-09-29/MoTrPAC_XMT_2023-09-29_MoTrPAC_Rat_Exercise_Sigs_2023.gmt	2023-09-29 00:00:00.000	True		a9aeab22-4fbc-5329-aef6-21110f463c23	True	False	True	2023-09-29 00:00:00.000
https://github.com/nih-cfde/playbook-partnership/blob/main/components/core/primitives/variant.ts	2023-10-19 00:00:00.000	True		f65babf7-2875-5725-9635-210d654533f1	True	False	False	2023-10-19 00:00:00.000
https://github.com/nih-cfde/playbook-partnership/blob/main/components/core/primitives/regulatoryElement.ts	2023-10-19 00:00:00.000	True		f65babf7-2875-5725-9635-210d654533f1	True	False	False	2023-10-19 00:00:00.000
https://github.com/nih-cfde/LINCS-metadata/blob/main/scripts/process_mcf0a_c2m2.py	2024-02-20 20:16:23.088	False		f3f490cf-fd69-579c-8ea3-472c7cf3fb59	False	False	True	2024-02-20 20:16:23.088
https://github.com/nih-cfde/LINCS-metadata/blob/main/scripts/process_mf10a_c2m2.py	2024-02-20 20:19:52.739	False		f3f490cf-fd69-579c-8ea3-472c7cf3fb59	False	False	True	2024-02-20 20:19:52.739
https://github.com/nih-cfde/LINCS-metadata/blob/ain/scripts/process_mcf10a_c2m2.py	2024-02-21 22:08:41.275	False		f3f490cf-fd69-579c-8ea3-472c7cf3fb59	False	False	True	2024-02-21 22:08:41.275
