type	name	link	description	openAPISpec	smartAPISpec	smartAPIURL	entityPageExample
API	exRNA Atlas JSON-LD	https://brl-bcm.stoplight.io/docs/exrna-atlas-json-api/ZG9jOjQ1Mg-overview		True	False		
ETL	build_file_lincs2021.py	https://github.com/nih-cfde/LINCS-metadata/blob/main/scripts/build_file_lincs2021.py					
API	SigCom LINCS Data	https://smart-api.info/ui/fdb3ecfcf5006a142d3f5522930324f1		True	True		
API	SigCom LINCS Metadata	https://smart-api.info/ui/75cfc060ea7bec431a356c00c4a67c74		True	True		
API	Enrichr	https://smart-api.info/ui/d2cd419fdeace3e941984bc542e9383f		True	True		
API	L1000CDS2	https://smart-api.info/ui/c6fdcbd1d6be2a51c065e18eabed4bb1		True	True		
API	FAIRshake API v2	https://smart-api.info/ui/8113167e81987d36b707ae4aa795b17e		True	True		
API	L1000FWD	https://smart-api.info/ui/235e75417247f07e5fed6acf3f345bb7		True	True		
API	Harmonizome	https://smart-api.info/ui/02ff8a216233cad70e56c8c34fac7c1d		True	True		
API	FAIRshake	https://smart-api.info/ui/c8e4c6c6633ead7ddc2ecf3dc6ac97b2		True	True		
API	GTEx API	https://gtexportal.org/api/v2/redoc#tag/GTEx-Portal-API-Info		False	False		
API	GA4GH RNAget API	https://ga4gh-rnaseq.github.io/schema/docs/index.html		True	False		
API	Pharos Microservice API	https://smart-api.info/ui/b8399f43cd71264faca4d798c793aa30		True	True		
API	BioCompute Object Data Base API	https://biocomputeobject.org/api/docs/		True	False		
API	Gene ID Conversion REST API	https://smart-api.info/ui/e712b9eb07e637a00ae468f757ce2a1f		True	True		
API	MetGENE REST API	https://smart-api.info/ui/342e4cec92030d74efd84b61650fb0ea		True	True		
PWB Metanodes	ConvertedGeneID	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/ConvertedGeneID/index.tsx					
PWB Metanodes	MetENP_on_MetSet	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/MetENP_on_MetSet/index.tsx					
PWB Metanodes	PPI_StringDB	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/PPI_StringDB/index.tsx					
PWB Metanodes	GeneIDConv	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/geneidconv/index.tsx					
PWB Metanodes	MetaboliteInfo	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/metaboliteInfo/index.tsx					
PWB Metanodes	MetaboliteSummary	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/metabolite_summary/index.tsx					
PWB Metanodes	MetgeneMetaboliteTable	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/metgene_metabolite_table/index.tsx					
PWB Metanodes	MetgeneMetabolites	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/metgene_metabolites/index.tsx					
PWB Metanodes	MetGeneRxnTable	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/metgene_rxn_table/index.tsx					
PWB Metanodes	MetGeneRxns	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/metgene_rxns/index.tsx					
PWB Metanodes	MetGeneStudies	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/metgene_studies/index.tsx					
PWB Metanodes	MetGeneStudyTable	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/metgene_study_table/index.tsx					
PWB Metanodes	MetGeneSummary	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/metgene_summary/index.tsx					
PWB Metanodes	MetGeneSummaryTable	https://github.com/nih-cfde/playbook-partnership/blob/main/components/MW/metgene_summary_table/index.tsx					
Entity Page Template	SigCom LINCS Gene Pages	https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Genes?query={"skip":0,"limit":10,"search":["{gene.symbol}"]}					https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Genes?query={"skip":0,"limit":10,"search":["ACE2"]}
Entity Page Template	SigCom LINCS Drug Pages	https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Signatures?query={"search":["{drug.label}"]}					https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Signatures?query={"search":["Imatinib"]}
Entity Page Template	Harmonizome Gene Pages	https://maayanlab.cloud/Harmonizome/gene/{gene.symbol}					https://maayanlab.cloud/Harmonizome/gene/ACE2
Entity Page Template	Drugmonizome Drug Pages	https://maayanlab.cloud/drugmonizome/#/TermSearch/Small%20molecules?query={"limit":10,"search":["{drug.label}"]}					https://maayanlab.cloud/drugmonizome/#/TermSearch/Small%20molecules?query={"limit":10,"search":["Imatinib"]}
Entity Page Template	IDG Reactome Gene Pages	https://idg.reactome.org/search/{gene.symbol}					https://idg.reactome.org/search/ACE2
Entity Page Template	Pharos Gene Pages	https://pharos.nih.gov/search?q={gene.symbol}					https://pharos.nih.gov/search?q=ACE2
Entity Page Template	DrugCentral Drug Pages	https://drugcentral.org/?q={drug.label}					https://drugcentral.org/?q=imatinib
Entity Page Template	ZINC15 Drug Pages	https://zinc15.docking.org/substances/search/?q={drug.label}					https://zinc15.docking.org/substances/search/?q=imatinib
Entity Page Template	GlyGen Protein Pages	https://www.glygen.org/protein/{protein.uniprot}					https://www.glygen.org/protein/Q9BYF1
